OBJECTID,FEATTYPE,NAME,PERENNIAL,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,TEXTNOTE,Id,RefFID,StepID,SHAPE_Leng,SHAPE_Area,ORIG_FID,RASTERVALU,POINT_X,POINT_Y,rain_1mm,art_nat,ARRIVE_MCP
853,Windpump,FOX BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1091281.922,-2091102.712,27.60246468,1,0
7502,Water Tank,NO 2 BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,7,-1078738.061,-2090119.736,28.14277077,1,0
432,Bore,NEW WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1094943.665,-2089933.417,27.26605606,1,0
54613,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3552372,10,0,0,,0,0,0,0.025300381,3.83767E-05,11805,0,-1091166.19,-2089274.769,27.60246468,0,0
84309,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3522237,10,0,0,,0,0,0,0.00979299,4.2483E-06,16953,7,-1090263.963,-2088684.87,27.60246468,0,0
52460,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3554357,10,0,0,,0,0,0,0.039515119,6.42625E-05,10941,0,-1091867.214,-2088008.711,27.60246468,0,0
90323,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3512563,10,0,0,,0,0,0,0.026305486,3.34918E-05,19090,0,-1090763.964,-2087826.008,27.60246468,0,0
7227,Windpump,MCPHEE WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1098459.656,-2087535.981,27.26605606,1,0
26,Windpump,JEAN WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1083371.586,-2086920.195,27.60246468,1,0
5101,Windpump,PAUL BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1074145.849,-2086823.587,28.14277077,1,0
4570,Windpump,WAYNE BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,disused,0,0,0,0,0,0,7,-1081327.111,-2084440.897,28.69208527,1,0
9240,Bore,CORGINOJALLY WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1098199.84,-2083519.317,27.70725822,1,0
5351,Windpump,JOHNSONS WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1092099.242,-2083365.847,28.10244179,1,0
14352,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3555840,10,0,0,,0,0,0,0.021630155,0.000035462,3848,6,-1053022.812,-2081872.697,29.95306015,0,0
13099,Bore,MINNAWARRA WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1091277.19,-2081395.902,28.10244179,1,0
7225,Lake,,Perennial,9/10/2002,9/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3533881,10,0,0,,0,0,0,0.471254568,0.001465073,1809,0,-1094881.467,-2081276.535,27.70725822,0,0
17653,Bore,WANBREE WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1096113.884,-2080847.367,27.70725822,1,0
6823,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3528408,10,0,0,,0,0,0,0.029220104,6.51678E-05,1479,6,-1052491.419,-2080064.079,29.95306015,0,0
3997,Bore,WARROOBPAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1087725.679,-2074931.113,28.49661255,1,0
17551,Bore,EAST IMBADAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1082880.01,-2074364.331,29.0690918,1,0
9218,Bore,CORK BARK WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1094256.159,-2073892.946,28.11251831,1,0
227,Bore,BANNAMAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,-9999,-1091518.478,-2073699.36,28.49661255,1,0
7319,Bore,WEST IMBADAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1084575.937,-2073115.823,28.49661255,1,0
1641,Bore,AMBROOKAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1088000.874,-2069899.789,28.49661255,1,0
10760,Bore,JOHN GLENN WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1079958.238,-2069350.741,29.0690918,1,0
11722,Bore,GINGERS WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1086993.22,-2067324.671,28.49661255,1,0
5950,Bore,WOBINAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1089766.005,-2066506.122,28.49661255,1,0
9768,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1051668.06,-2066376.767,30.72554398,1,0
17949,Bore,ALEX WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1084885.565,-2062698.535,28.79813194,1,0
13012,Bore,EELWARINGAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1086973.824,-2061158.506,28.79813194,1,0
3466,Windpump,CHINKAMUDDAGE WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,abandoned,0,0,0,0,0,0,7,-1076586.218,-2061066.071,29.25851631,1,0
12955,Bore,KITTYS BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1088401.342,-2061002.916,28.79813194,1,0
34078,Water Tank,SHADDOCKS DAM,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,7,-1053581.637,-2060827.623,30.25289536,1,0
12268,Bore,EEGANHT WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1084957.392,-2060601.033,28.79813194,1,0
0,,,,,,0,,,,0,0,0,0,,0,10999,1,0,0,0,8,-1086719.019,-2058915.491,28.79813194,0,0
3742,Bore,WIDDINGMARL WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1081570.336,-2058291.751,29.25851631,1,0
9956,Bore,EUGARONGAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1082888.035,-2056089.267,29.25851631,1,0
18534,Bore,EENDAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1086147.066,-2054997.815,29.13516426,1,0
13896,Bore,QUOIMBEENAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1079493.902,-2054530.184,29.49592781,1,0
8324,Windpump,LANGET WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,disused,0,0,0,0,0,0,8,-1075953.738,-2053690.207,29.49592781,1,0
19717,Bore,WARRALONG WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1082367.102,-2053549.189,29.49592781,1,0
4236,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1072373.317,-2053059.372,29.83255577,1,0
19077,Bore,CHARLIES BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1045031.574,-2052838.178,30.82420731,1,0
688,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1083934.009,-2052539.843,29.13516426,1,0
16945,Bore,CABBAGE GUM WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1084155.453,-2051329.423,29.13516426,1,0
4605,Bore,BALLADONGA WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1086479.809,-2051206.138,29.13516426,1,0
4936,Bore,DEEP WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1079579.454,-2051031.206,29.49592781,1,0
17887,Water Tank,REDWING BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,8,-1056043.506,-2050143.818,30.27697754,1,0
3599,Bore,MUNGULLY WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,disused,0,0,0,0,0,0,8,-1072343.309,-2048605.701,29.83255577,1,0
12951,Bore,BOSSUT WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1085943.989,-2048514.773,29.13516426,1,0
3579,Bore,ERROLS (SEAVIEW) BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1089379.398,-2047916.853,29.13516426,1,0
20530,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1088350.28,-2047883.32,29.13516426,1,0
3523,Bore,ROLLAH WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,8,-1083294.106,-2047185.609,29.13516426,1,0
2247,Bore,BILLABONG DAM,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1026014.544,-2044154.522,31.97393608,1,0
